2026-01-21 10:47:54,066 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2026-01-21 10:47:54,252 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2026-01-21 10:47:55,269 [INFO] Starting full scrape
2026-01-21 10:47:55,271 [INFO] Scraping channel: lobelia4cosmetics
2026-01-21 10:48:53,012 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:53,527 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:54,414 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:54,775 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:55,167 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:55,518 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:56,031 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:56,772 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:56,996 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:57,325 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:58,215 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:58,834 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:48:59,699 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:00,293 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:00,740 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:01,170 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:01,747 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:02,043 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:02,219 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:03,056 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:03,878 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:04,214 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:04,625 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:05,695 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:06,207 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:06,732 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:07,093 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:07,616 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:07,968 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:08,398 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:08,789 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:09,842 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:10,393 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:11,133 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:11,617 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:12,293 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:13,202 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:13,366 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:13,809 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:13,992 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:14,188 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:14,642 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:15,126 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:15,528 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:16,017 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:16,864 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:17,792 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:18,388 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:18,985 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:19,639 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:20,269 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:20,861 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:21,444 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:21,825 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:22,330 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:23,746 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:24,284 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:24,663 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:25,716 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:25,882 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:26,929 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:27,483 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:28,075 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:28,659 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:29,497 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:30,169 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:30,751 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:31,349 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:31,792 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:32,258 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:32,448 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:32,980 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:33,786 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:35,029 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:35,820 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
